City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Shimoda,JP,34.6667,138.95,51.1,61,1,24.27,clear sky
238,Nampula,MZ,-15.1165,39.2666,75.15,69,20,11.5,few clouds
239,Port Keats,AU,-14.25,129.55,86.31,70,34,8.32,scattered clouds
240,Batemans Bay,AU,-35.7167,150.1833,72.19,63,3,2.08,clear sky
241,Cherskiy,RU,68.75,161.3,-42.68,100,49,1.43,scattered clouds
242,Sao Filipe,CV,14.8961,-24.4956,75.29,69,89,5.08,overcast clouds
243,Gurupi,BR,-11.7292,-49.0686,75.09,92,100,5.88,overcast clouds
244,Jepara,ID,-5.1695,105.7044,74.08,96,97,4.83,overcast clouds
245,Kavieng,PG,-2.5744,150.7967,84.36,74,100,5.53,overcast clouds
246,Vanderhoof,CA,54.0166,-124.0198,25.14,69,97,3.98,overcast clouds
247,Suditi,RO,44.5833,27.6,44.06,77,76,9.6,broken clouds
248,Cidreira,BR,-30.1811,-50.2056,71.94,84,0,12.66,clear sky
249,Lorengau,PG,-2.0226,147.2712,82.94,82,100,15.77,overcast clouds
250,Miri,MY,4.4148,114.0089,75.34,94,40,0.0,scattered clouds
251,Port Hedland,AU,-20.3167,118.5667,84.25,79,40,10.36,scattered clouds
252,Sitka,US,57.0531,-135.33,33.69,75,90,5.75,light snow
253,Loudi,CN,27.7344,111.9944,43.48,87,18,2.84,few clouds
254,Hualmay,PE,-11.0964,-77.6139,71.17,76,78,10.71,broken clouds
255,Portland,US,45.5234,-122.6762,46.9,86,90,3.0,overcast clouds
256,Linhares,BR,-19.3911,-40.0722,75.63,86,99,7.92,light rain
257,Lubango,AO,-14.9172,13.4925,63.48,83,98,3.09,light rain
258,Hobyo,SO,5.3505,48.5268,78.35,80,47,20.85,scattered clouds
259,Lubao,PH,14.9167,120.55,78.87,87,97,7.61,overcast clouds
260,Yuyao,CN,30.05,121.1494,47.97,78,68,3.91,broken clouds
261,Gezing,AT,47.9178,13.1299,35.15,94,75,5.75,broken clouds
262,Hirara,JP,24.8,125.2833,68.27,83,75,19.57,broken clouds
263,Kathmandu,NP,27.7167,85.3167,41.22,93,20,2.3,few clouds
264,Baneh,IR,35.9975,45.8853,39.38,39,5,6.35,clear sky
265,Nanortalik,GL,60.1432,-45.2371,21.87,77,29,0.38,scattered clouds
266,Dovolnoye,RU,54.4958,79.6671,4.64,96,100,7.23,overcast clouds
267,Fuyang,CN,32.9,115.8167,35.58,52,0,6.11,clear sky
268,Endicott,US,42.0984,-76.0494,41.97,55,1,3.0,clear sky
269,Muros,ES,42.7762,-9.0603,57.24,96,72,6.02,broken clouds
270,Laguna,US,38.421,-121.4238,54.91,83,90,4.0,light rain
271,Rafraf,TN,37.1904,10.1837,50.32,62,6,12.17,clear sky
272,Balkanabat,TM,39.5108,54.3671,43.61,73,4,4.0,clear sky
273,Tete,MZ,-16.1564,33.5867,93.29,31,0,0.0,clear sky
274,Mnogovershinnyy,RU,53.9353,139.9242,19.71,94,100,14.14,snow
275,Aykhal,RU,66.0,111.5,-48.59,100,98,6.17,overcast clouds
276,Key Largo,US,25.0865,-80.4473,80.01,71,4,13.73,clear sky
277,Dalvik,IS,65.9702,-18.5286,40.93,77,100,12.97,overcast clouds
278,Qaqortoq,GL,60.7167,-46.0333,19.9,84,9,4.36,clear sky
279,Severo-Kurilsk,RU,50.6789,156.125,32.9,86,78,12.03,broken clouds
280,Along,IN,28.1667,94.7667,49.86,76,9,1.57,clear sky
281,Hals,DK,56.9961,10.3081,39.61,97,100,5.28,overcast clouds
282,Katherine,AU,-14.4667,132.2667,82.72,69,43,8.05,scattered clouds
283,Riohacha,CO,11.5444,-72.9072,80.71,78,75,11.5,broken clouds
284,Isangel,VU,-19.55,169.2667,83.77,76,100,9.1,overcast clouds
285,Slave Lake,CA,55.2834,-114.769,15.78,86,1,2.3,clear sky
286,Ilhabela,BR,-23.7781,-45.3581,76.23,88,83,2.26,broken clouds
287,Algiers,DZ,36.7525,3.042,42.62,93,20,2.3,few clouds
288,Homer,US,59.6425,-151.5483,12.07,66,1,8.05,clear sky
289,Obigarm,TJ,38.7173,69.7088,32.85,40,100,5.91,overcast clouds
290,Baruun-Urt,MN,46.6806,113.2792,13.44,60,3,21.61,clear sky
291,Sokoni,TZ,-6.4333,39.55,81.01,75,24,9.91,light rain
292,Grafton,US,42.207,-71.6856,41.56,50,1,1.01,clear sky
293,Okhotsk,RU,59.3833,143.3,0.18,75,100,17.49,overcast clouds
294,San Juan,AR,-31.5375,-68.5364,78.71,38,3,20.24,clear sky
295,Bolshaya Martynovka,RU,47.271,41.6679,27.21,55,100,17.2,overcast clouds
296,Plettenberg Bay,ZA,-34.0527,23.3716,65.68,91,95,2.08,overcast clouds
297,Biak,ID,-0.9131,122.8766,77.27,82,100,2.77,overcast clouds
298,Bethel,US,41.3712,-73.414,43.81,44,1,3.44,clear sky
299,Parabel,RU,58.6978,81.4825,-9.36,100,89,3.71,overcast clouds
300,Nalut,LY,30.3333,10.85,45.52,54,2,7.85,clear sky
301,Narsaq,GL,60.9167,-46.05,19.62,80,3,4.38,clear sky
302,Cap-Aux-Meules,CA,47.3821,-61.8597,37.45,56,75,28.77,broken clouds
303,Provideniya,RU,64.3833,-173.3,-7.49,64,0,4.47,clear sky
304,Lazi,UA,48.0667,24.2333,33.87,95,97,5.01,overcast clouds
305,Tilichiki,RU,60.4667,166.1,-8.16,84,100,16.71,overcast clouds
306,Srandakan,ID,-7.9386,110.2506,61.74,84,95,3.04,overcast clouds
307,Ilorin,NG,8.5,4.55,77.36,57,98,0.0,haze
308,Vostok,RU,46.4856,135.8833,1.74,96,100,8.14,light snow
309,Kutum,SD,14.2,24.6667,66.2,31,37,7.25,scattered clouds
310,Port Lincoln,AU,-34.7333,135.8667,61.47,68,85,15.41,overcast clouds
311,Port Moresby,PG,-9.4431,147.1797,78.22,89,75,5.75,broken clouds
312,Rincon,US,32.296,-81.2354,61.25,55,20,8.05,few clouds
313,Yerbogachen,RU,61.2767,108.0108,-39.57,98,33,4.14,scattered clouds
314,Pemangkat,ID,1.1667,108.9667,77.31,89,100,5.88,overcast clouds
315,Camacupa,AO,-12.0167,17.4833,63.37,96,100,1.12,overcast clouds
316,Panaba,MX,21.2833,-88.2667,81.82,60,68,13.51,broken clouds
317,Novichikha,RU,52.204,81.3877,1.62,97,27,5.7,scattered clouds
318,Buraydah,SA,26.326,43.975,50.45,32,67,5.35,broken clouds
319,Ola,RU,59.5833,151.2833,7.14,91,100,11.1,light snow
320,Saint-Augustin,CA,51.226,-58.6502,28.96,72,91,29.82,overcast clouds
321,Cascais,PT,38.6979,-9.4215,62.06,68,1,1.01,clear sky
322,Vallenar,CL,-28.5708,-70.7581,75.4,29,0,10.25,clear sky
323,Avera,US,33.194,-82.5271,60.31,47,0,5.61,clear sky
324,Krasnoselkup,RU,65.7,82.4667,-16.58,93,100,5.91,overcast clouds
325,Riviere-Au-Renard,CA,48.9957,-64.3971,32.0,60,15,27.63,few clouds
326,Njeru,UG,0.4186,33.1731,68.2,74,100,3.06,overcast clouds
327,Khash,IR,28.2211,61.2158,44.02,33,0,3.58,clear sky
328,Kemijarvi,FI,66.7131,27.4306,25.21,97,100,5.5,overcast clouds
329,Porto Walter,BR,-8.2686,-72.7439,84.43,68,73,5.44,broken clouds
330,Alofi,NU,-19.0595,-169.9187,82.29,69,8,11.5,clear sky
331,Anadyr,RU,64.75,177.4833,-30.5,68,75,8.95,mist
332,La Ronge,CA,55.1001,-105.2842,10.65,92,90,1.14,overcast clouds
333,Vestmanna,FO,62.1564,-7.1664,38.32,93,90,16.11,overcast clouds
334,Kirkwall,GB,58.9848,-2.9587,48.54,87,90,23.02,overcast clouds
335,Eureka,US,40.8021,-124.1637,52.93,92,100,1.99,overcast clouds
336,Mayo,US,38.8876,-76.5119,49.1,43,1,1.01,clear sky
337,San Cristobal,VE,7.7669,-72.225,75.38,66,63,4.83,broken clouds
338,Bougouni,ML,11.417,-7.479,77.45,16,100,4.68,overcast clouds
339,Agadez,NE,19.75,10.25,63.61,11,42,5.64,scattered clouds
340,Sao Desiderio,BR,-12.3633,-44.9733,73.33,95,100,4.23,overcast clouds
341,Fergus Falls,US,46.283,-96.0776,38.12,80,1,6.91,clear sky
342,Miandrivazo,MG,-19.5167,45.4667,80.96,68,46,12.62,light rain
343,Longyearbyen,SJ,78.2186,15.6401,31.84,74,75,18.41,broken clouds
344,Port Blair,IN,11.6667,92.75,79.11,74,72,12.48,broken clouds
345,Teya,RU,60.3778,92.6267,-13.67,100,98,1.61,overcast clouds
