City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
325,Riviere-Au-Renard,CA,32.0,few clouds,48.9957,-64.3971,Auberge Le Caribou
326,Njeru,UG,68.2,overcast clouds,0.4186,33.1731,2 Friends Guesthouse and Restaurant
327,Khash,IR,44.02,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
328,Kemijarvi,FI,25.21,overcast clouds,66.7131,27.4306,Hotelli Kemijärvi
329,Porto Walter,BR,84.43,broken clouds,-8.2686,-72.7439,Secretaria de saúde
330,Alofi,NU,82.29,clear sky,-19.0595,-169.9187,Taloa Heights
332,La Ronge,CA,10.65,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
333,Vestmanna,FO,38.32,overcast clouds,62.1564,-7.1664,Vestmanna Camping
334,Kirkwall,GB,48.54,overcast clouds,58.9848,-2.9587,Kirkwall Hotel
335,Eureka,US,52.93,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
336,Mayo,US,49.1,clear sky,38.8876,-76.5119,Resorts Resource Group International
337,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
338,Bougouni,ML,77.45,overcast clouds,11.417,-7.479,Non Stop
340,Sao Desiderio,BR,73.33,overcast clouds,-12.3633,-44.9733,Hotel azaf
341,Fergus Falls,US,38.12,clear sky,46.283,-96.0776,AmericInn by Wyndham Fergus Falls Conference Center
342,Miandrivazo,MG,80.96,light rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
343,Longyearbyen,SJ,31.84,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
344,Port Blair,IN,79.11,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
346,Xining,CN,21.65,clear sky,36.6167,101.7667,Super Leisure Hotel
347,Hamilton,US,45.79,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
348,Kiri Buru,IN,58.35,clear sky,22.0833,85.35,Lucky India
349,Oster,UA,34.9,overcast clouds,50.9506,30.8823,Подвал О-Сану
350,Faanui,PF,80.71,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
351,Pisco,PE,69.85,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
352,Maniitsoq,GL,19.51,clear sky,65.4167,-52.9,Hotel Heilmann Lyberth
353,Ancud,CL,58.42,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
